CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
86569,50000,30000,30000,30000,30000,30000,Vía Municipal,-76.6025,0.679298,-76.604316,0.701364,1951.2,5242.82,4213.93,7198.12,11727.69,12231.88,665000,33,Vía Municipal,0
4502A,200,50,100,50,50,25,Departamental,-76.887973,0.677052,-76.881884,0.767573,10997.94,33656.6,24771.26,41962.02,75701.47,79346.74,1250,34,Departamental,0
4502,1913,72,484,100,29,58,Primer Orden,-76.604316,0.701364,-76.574602,0.788645,8985.51,22793.35,17901.62,30998.26,53930.38,56306.85,4452,35,Primer Orden,891
4502,1913,72,484,100,29,58,Primer Orden,-76.574602,0.788645,-76.574485,0.789134,45.46,115.32,90.57,156.83,272.84,284.87,4452,36,Primer Orden,891
45PT18,200,50,100,50,50,25,Departamental,-76.525616,0.768223,-76.574485,0.789134,5751.35,17600.64,12954.07,21943.94,39587.91,41494.2,1250,37,Departamental,0
52560,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.576187,0.80625,-77.570943,0.810477,802.26,2338.29,1818.13,3062.28,5069.56,5289.69,665000,38,Vía Municipal,0
25NR01-1,58,21,6,1,0,0,Departamental,-77.581623,0.805825,-77.576187,0.80625,1999.05,5974.61,4437.75,8030.03,15004.17,15774.48,154,39,Departamental,0
25NR04,13,5,2,1,0,0,Departamental,-77.635624,0.816322,-77.685279,0.770267,9583.96,28643.78,21275.66,38497.96,71933.72,75626.78,41,40,Departamental,0
25NR01,3649,227,156,1,0,0,Segundo Orden,-77.616573,0.817784,-77.581623,0.805825,4174.52,10589.41,8316.8,14401.27,25055.16,26159.23,4916,41,Segundo Orden,315
08NR03,27,9,7,4,1,1,Departamental,-77.536257,0.671436,-77.618963,0.81853,26999.94,80695.31,59937.84,108456.53,202651.81,213055.92,106,42,Departamental,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.663774,0.814063,-77.657274,0.818857,692,1859.39,1494.49,2552.85,4159.29,4338.1,665000,43,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.638124,0.819466,-77.635624,0.816322,409.71,1100.87,884.83,1511.44,2462.55,2568.42,665000,44,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.622141,0.821763,-77.638124,0.819466,1444,3880,3118.56,5327.03,8679.18,9052.32,665000,45,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.618963,0.81853,-77.622141,0.821763,389.71,1047.14,841.64,1437.66,2342.34,2443.05,665000,46,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.620869,0.822274,-77.622141,0.821763,114.94,308.84,248.23,424.02,690.84,720.54,665000,47,Vía Municipal,0
