CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.061845,4.659404,-74.06309,4.654808,398.65,1071.16,860.95,1470.65,2396.09,2499.1,665000,3577,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.061845,4.659404,-74.061584,4.659172,28.99,77.91,62.62,106.96,174.27,181.76,665000,3578,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.093104,4.651768,-74.08853,4.659449,750.27,2015.95,1620.33,2767.79,4509.49,4703.36,665000,3579,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.08853,4.659449,-74.083585,4.653369,659.04,1770.82,1423.3,2431.24,3961.16,4131.45,665000,3580,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.142812,4.653335,-74.135742,4.659498,782.54,2102.66,1690.02,2886.84,4703.45,4905.66,665000,3581,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.135742,4.659498,-74.132224,4.65531,455.06,1222.74,982.78,1678.76,2735.15,2852.74,665000,3582,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.112173,4.659942,-74.110015,4.65482,489.75,1315.93,1057.69,1806.71,2943.62,3070.17,665000,3583,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.063177,4.660338,-74.06566,4.656364,389.35,1046.18,840.87,1436.35,2340.21,2440.82,665000,3584,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.063177,4.660338,-74.061845,4.659404,135.39,363.78,292.39,499.45,813.74,848.73,665000,3585,Vía Municipal,0
29VL03,138,28,85,0,0,0,Departamental,-75.734803,4.660184,-75.70742,4.657309,2957.2,7472.3,5897.4,10180.23,18049.1,18915.86,491,3586,Departamental,0
23VL11,138,28,85,0,0,0,Departamental,-76.081647,4.631261,-76.100295,4.660622,6348.75,18974.65,14093.75,25502.41,47651.44,50097.86,491,3587,Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.115843,4.661433,-74.126713,4.649235,1359.54,3653.06,2936.16,5015.46,8171.54,8522.85,665000,3588,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.115843,4.661433,-74.112173,4.659942,359.23,965.24,775.82,1325.23,2159.16,2251.98,665000,3589,Vía Municipal,0
50CN43-3,25,6,10,0,0,0,Colectora Departamental,-73.654777,4.642838,-73.663752,4.662375,2479.06,6910.31,5263.88,8989.52,15772.83,16469.03,76,3590,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.06712,4.663006,-74.06959,4.659012,390.38,1048.95,843.1,1440.15,2346.4,2447.27,665000,3591,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.06712,4.663006,-74.063177,4.660338,396.13,1064.38,855.5,1461.34,2380.91,2483.27,665000,3592,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.112173,4.659942,-74.109437,4.663032,346.46,930.93,748.24,1278.12,2082.4,2171.93,665000,3593,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.109437,4.663032,-74.10348,4.653668,922.37,2478.37,1992,3402.67,5543.88,5782.22,665000,3594,Vía Municipal,0
47CN08-2,250,50,100,50,50,25,Colectora Departamental,-74.550973,4.66306,-74.54673,4.657572,722.26,2013.3,1533.61,2619.07,4595.36,4798.2,1300,3595,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.061171,4.663281,-74.063177,4.660338,299.45,804.63,646.72,1104.71,1799.87,1877.25,665000,3596,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.061171,4.663281,-74.061845,4.659404,326.79,878.07,705.75,1205.54,1964.15,2048.59,665000,3597,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.076242,4.66367,-74.077443,4.658614,431.54,1159.53,931.98,1591.97,2593.76,2705.27,665000,3598,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.076242,4.66367,-74.06959,4.659012,676.03,1816.49,1460.01,2493.94,4063.31,4238,665000,3599,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.149148,4.657198,-74.1406,4.663897,916.89,2463.66,1980.17,3382.48,5510.97,5747.9,665000,3600,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.1406,4.663897,-74.135742,4.659498,546.79,1469.21,1180.88,2017.14,3286.48,3427.77,665000,3601,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.132224,4.65531,-74.118145,4.6641,1426.26,3832.32,3080.24,5261.57,8572.53,8941.08,665000,3602,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.118145,4.6641,-74.115843,4.661433,293.19,787.8,633.19,1081.6,1762.23,1837.99,665000,3603,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.047123,4.664617,-74.055221,4.655271,1032.59,2774.54,2230.04,3809.29,6206.37,6473.2,665000,3604,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.047123,4.664617,-74.046172,4.664808,80.91,217.4,174.74,298.48,486.31,507.21,665000,3605,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.046172,4.664808,-74.050782,4.653105,1100.67,2957.47,2377.08,4060.45,6615.58,6900,665000,3606,Vía Municipal,0
40CN06-2-,12,6,5,0,0,0,Vía Nacional,-73.940086,4.599604,-73.910775,4.664663,12066.03,33677.52,26022.48,43993.16,73749.81,76970.53,48,3607,Vía Nacional,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.046805,4.665161,-74.047123,4.664617,52.39,140.78,113.15,193.29,314.92,328.46,665000,3608,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.060804,4.665941,-74.061171,4.663281,222.9,598.93,481.39,822.3,1339.75,1397.35,665000,3609,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.099534,4.658393,-74.093702,4.666032,799.07,2147.09,1725.73,2947.84,4802.83,5009.31,665000,3610,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.093702,4.666032,-74.08853,4.659449,700.53,1882.3,1512.9,2584.29,4210.52,4391.53,665000,3611,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.111676,4.666322,-74.115843,4.661433,536.29,1441.01,1158.21,1978.42,3223.39,3361.97,665000,3612,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.111676,4.666322,-74.109437,4.663032,331.02,889.44,714.89,1221.15,1989.59,2075.12,665000,3613,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.08853,4.659449,-74.085347,4.666367,633.72,1702.8,1368.63,2337.86,3809,3972.76,665000,3614,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.085347,4.666367,-74.077443,4.658614,962.41,2585.96,2078.48,3550.39,5784.55,6033.24,665000,3615,Vía Municipal,0
29BQN07-1,43,10,4,0,0,0,Departamental,-75.67703,4.666599,-75.671041,4.66462,623.37,1575.15,1243.16,2145.98,3804.72,3987.43,90,3616,Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.148595,4.666817,-74.1406,4.663897,709.27,1905.79,1531.78,2616.55,4263.07,4446.34,665000,3617,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.073339,4.667728,-74.076242,4.66367,417.73,1122.42,902.15,1541.02,2510.74,2618.68,665000,3618,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.073339,4.667728,-74.06712,4.663006,649.74,1745.83,1403.22,2396.94,3905.26,4073.16,665000,3619,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.05143,4.667837,-74.058741,4.657179,1074.06,2885.98,2319.62,3962.31,6455.67,6733.21,665000,3620,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.05143,4.667837,-74.046805,4.665161,444.72,1194.96,960.45,1640.62,2673.01,2787.93,665000,3621,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.151056,4.667951,-74.149148,4.657198,907.3,2437.88,1959.45,3347.08,5453.3,5687.75,665000,3622,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.151056,4.667951,-74.148595,4.666817,225.53,605.99,487.06,831.99,1355.53,1413.81,665000,3623,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.109437,4.663032,-74.103906,4.668149,626.83,1684.26,1353.73,2312.41,3767.54,3929.51,665000,3624,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.103906,4.668149,-74.099534,4.658393,942.01,2531.17,2034.43,3475.16,5661.98,5905.4,665000,3625,Vía Municipal,0
2901B,2918,521,683,51,19,24,Primer Orden,-75.776582,4.654243,-75.782888,4.668659,1531.24,3910.13,3126.28,5353.26,8841.08,9226.93,7210,3626,Primer Orden,434
47CN12,200,24,56,20,0,0,Colectora Departamental,-74.350468,4.625639,-74.356506,4.666893,6265.47,17191.1,13117.94,24115.45,44852.59,47164.7,532,3627,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.063425,4.669052,-74.06712,4.663006,590.75,1587.33,1275.82,2179.32,3550.71,3703.36,665000,3628,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.063425,4.669052,-74.060804,4.665941,338.52,909.59,731.09,1248.82,2034.66,2122.14,665000,3629,Vía Municipal,0
40CN03-2,50,16,10,0,0,0,Colectora Departamental,-74.388949,4.657006,-74.395137,4.669565,2397.26,6057.43,4780.73,8252.62,14631.53,15334.17,136,3630,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.043681,4.669917,-74.046172,4.664808,500.94,1346.01,1081.86,1848,3010.89,3140.33,665000,3631,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.055234,4.670021,-74.061584,4.659172,1046.18,2811.06,2259.4,3859.44,6288.08,6558.42,665000,3632,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.055234,4.670021,-74.05143,4.667837,365.01,980.76,788.29,1346.54,2193.88,2288.2,665000,3633,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.042834,4.670332,-74.043681,4.669917,79.12,212.58,170.86,291.87,475.53,495.97,665000,3634,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.039394,4.668439,-74.042834,4.670332,353.89,950.9,764.29,1305.54,2127.08,2218.52,665000,3635,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.103906,4.668149,-74.100922,4.670756,329.83,886.25,712.33,1216.78,1982.47,2067.7,665000,3636,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.100922,4.670756,-74.093702,4.666032,719.67,1933.72,1554.23,2654.9,4325.55,4511.51,665000,3637,Vía Municipal,0
47CN08-2,250,50,100,50,50,25,Colectora Departamental,-74.567111,4.653342,-74.550973,4.66306,3876.2,10804.8,8230.48,14055.8,24662.02,25750.59,1300,3638,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.085347,4.666367,-74.081681,4.671294,512,1375.73,1105.75,1888.81,3077.38,3209.68,665000,3639,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.081681,4.671294,-74.076242,4.66367,779.38,2094.17,1683.2,2875.19,4684.46,4885.86,665000,3640,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.106787,4.671304,-74.111676,4.666322,582.1,1564.09,1257.14,2147.41,3498.72,3649.13,665000,3641,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.106787,4.671304,-74.103906,4.668149,355.93,956.37,768.69,1313.05,2139.31,2231.28,665000,3642,Vía Municipal,0
2901B,2918,521,683,51,19,24,Primer Orden,-75.782888,4.668659,-75.783329,4.67135,334.1,853.14,682.12,1168.01,1929.01,2013.2,7210,3643,Primer Orden,434
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.043771,4.671405,-74.046805,4.665161,577.01,1550.41,1246.14,2128.63,3468.11,3617.21,665000,3644,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.043771,4.671405,-74.043681,4.669917,144.11,387.22,311.23,531.64,866.18,903.42,665000,3645,Vía Municipal,0
40CN06,250,50,150,50,50,25,Troncal Departamental,-73.910775,4.664663,-73.906536,4.57797,19483.8,49424.16,38817.15,67215.35,116940.42,122093.47,1450,3646,Troncal Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.093702,4.666032,-74.089261,4.671884,610.84,1641.31,1319.21,2253.44,3671.46,3829.3,665000,3647,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.089261,4.671884,-74.085347,4.666367,564.25,1516.12,1218.58,2081.55,3391.4,3537.21,665000,3648,Vía Municipal,0
29VL03,138,28,85,0,0,0,Departamental,-75.770025,4.672112,-75.734803,4.660184,3988.42,10078.01,7953.91,13730.23,24343.09,25512.11,491,3649,Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.059667,4.672184,-74.060804,4.665941,526.85,1415.63,1137.82,1943.59,3166.63,3302.77,665000,3650,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.059667,4.672184,-74.055234,4.670021,410.58,1103.21,886.71,1514.65,2467.77,2573.87,665000,3651,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.135742,4.659498,-74.125325,4.672264,1372.14,3686.9,2963.36,5061.93,8247.25,8601.81,665000,3652,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.125325,4.672264,-74.118145,4.6641,904.07,2429.22,1952.49,3335.19,5433.92,5667.54,665000,3653,Vía Municipal,0
29VLA,2918,521,683,51,19,24,Segundo Orden,-75.782888,4.668659,-75.787908,4.672575,542.89,1432.07,1149.45,1966.02,3212.66,3351.17,7210,3654,Segundo Orden,434
76020,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.772973,4.672835,-75.770025,4.672112,260.93,701.12,563.53,962.61,1568.35,1635.78,665000,3655,Vía Municipal,0
4702,5146,400,408,29,47,99,Troncal Departamental,-74.414038,4.648721,-74.406171,4.672779,4158.56,10619.17,8490.39,14538.45,24010.72,25058.61,8616,3656,Troncal Departamental,0
4702,5146,400,408,29,47,99,Troncal Departamental,-74.406171,4.672779,-74.395137,4.669565,1609.1,4108.95,3285.24,5625.46,9290.62,9696.09,8616,3657,Troncal Departamental,0
29VL02,165,33,102,0,0,0,Departamental,-75.708996,4.672735,-75.67703,4.666599,4052.19,12400.77,9126.97,15460.9,27892.19,29235.29,587,3658,Departamental,0
47CN09,223,12,49,75,0,0,Colectora Departamental,-74.462967,4.649372,-74.498513,4.672972,5946.97,16317.2,12451.1,22889.56,42572.54,44767.12,712,3659,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.039187,4.673314,-74.039394,4.668439,415.05,1115.24,896.38,1531.17,2494.69,2601.94,665000,3660,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.047983,4.673588,-74.05143,4.667837,557.76,1498.7,1204.58,2057.63,3352.44,3496.57,665000,3661,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.047983,4.673588,-74.043771,4.671405,394.86,1060.97,852.76,1456.65,2373.28,2475.32,665000,3662,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.06736,4.673926,-74.073339,4.667728,719.21,1932.51,1553.26,2653.23,4322.83,4508.68,665000,3663,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.06736,4.673926,-74.063425,4.669052,520.7,1399.11,1124.54,1920.9,3129.67,3264.22,665000,3664,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.103872,4.674656,-74.106787,4.671304,370.62,995.86,800.42,1367.26,2227.64,2323.41,665000,3665,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.103872,4.674656,-74.100922,4.670756,413.38,1110.74,892.76,1524.99,2484.61,2591.43,665000,3666,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.068307,4.674689,-74.06736,4.673926,101.62,273.05,219.46,374.88,610.79,637.05,665000,3667,Vía Municipal,0
76020,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.783329,4.67135,-75.781804,4.674741,344.9,926.75,744.88,1272.37,2073.04,2162.17,665000,3668,Vía Municipal,0
43TL04,40,60,20,0,0,0,Departamental,-74.934436,4.648545,-75.086206,4.640242,27276.26,81521.14,60551.24,109566.46,204725.73,215236.32,310,3669,Departamental,0
4702,5146,400,408,29,47,99,Troncal Departamental,-74.395137,4.669565,-74.372917,4.673785,2694.3,6834.58,5367.79,9294.82,16171,16883.59,8616,3670,Troncal Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.052316,4.67588,-74.055234,4.670021,543.81,1461.21,1174.45,2006.16,3268.58,3409.1,665000,3671,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.052316,4.67588,-74.047983,4.673588,407.95,1096.15,881.03,1504.95,2451.98,2557.39,665000,3672,Vía Municipal,0
76020,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.787908,4.672575,-75.788673,4.676536,343.16,922.07,741.11,1265.95,2062.57,2151.25,665000,3673,Vía Municipal,0
25VL07,2278,178,643,56,16,32,Segundo Orden,-75.788673,4.676536,-75.788593,4.676544,7.32,18.5,14.6,25.21,44.69,46.83,5294,3674,Segundo Orden,344
76020,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.788593,4.676544,-75.781804,4.674741,590.55,1586.79,1275.39,2178.58,3549.5,3702.1,665000,3675,Vía Municipal,0
63272,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.665968,4.666937,-75.65926,4.676757,988.26,2655.42,2134.3,3645.76,5939.93,6195.3,665000,3676,Vía Municipal,0
63272,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.653839,4.676475,-75.65926,4.676757,486.27,1306.59,1050.18,1793.88,2922.72,3048.37,665000,3677,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.062222,4.676852,-74.06736,4.673926,492.03,1322.07,1062.62,1815.13,2957.35,3084.49,665000,3678,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.062222,4.676852,-74.063425,4.669052,655.45,1761.17,1415.54,2417.99,3939.56,4108.93,665000,3679,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.010748,4.664098,-74.039187,4.673314,2968.62,7976.6,6411.22,10951.46,17842.89,18609.99,665000,3680,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.08542,4.677012,-74.081681,4.671294,567.79,1525.63,1226.23,2094.61,3412.69,3559.41,665000,3681,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.08542,4.677012,-74.073339,4.667728,1267.52,3405.79,2737.42,4675.97,7618.43,7945.96,665000,3682,Vía Municipal,0
50CN29-2,150,28,30,3,2,0,Colectora Departamental,-74.316625,4.677037,-74.302662,4.641421,3984.05,10931.39,8341.37,15334.41,28520.64,29990.85,360,3683,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.1406,4.663897,-74.13,4.677343,1424.44,3827.42,3076.3,5254.85,8561.58,8929.66,665000,3684,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.13,4.677343,-74.125325,4.672264,573.97,1542.24,1239.58,2117.41,3449.84,3598.15,665000,3685,Vía Municipal,0
4702,5146,400,408,29,47,99,Troncal Departamental,-74.356506,4.666893,-74.302662,4.641421,10409.77,26582.09,21253.28,36392.89,60104.03,62727.13,8616,3686,Troncal Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.089261,4.671884,-74.085948,4.677636,551.71,1482.44,1191.51,2035.31,3316.07,3458.63,665000,3687,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.085948,4.677636,-74.08542,4.677012,68.24,183.36,147.38,251.75,410.16,427.8,665000,3688,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.100922,4.670756,-74.095812,4.6778,723.37,1943.67,1562.23,2668.56,4347.8,4534.72,665000,3689,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.095812,4.6778,-74.089261,4.671884,736.66,1979.38,1590.93,2717.58,4427.68,4618.04,665000,3690,Vía Municipal,0
76020,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.777744,4.678137,-75.781804,4.674741,717,1926.57,1548.48,2645.08,4309.55,4494.82,665000,3691,Vía Municipal,0
76020,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.781804,4.674741,-75.772973,4.672835,771.67,2073.47,1666.55,2846.76,4638.14,4837.55,665000,3692,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.125325,4.672264,-74.119587,4.67893,732.77,1968.93,1582.53,2703.24,4404.31,4593.66,665000,3693,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.119587,4.67893,-74.111676,4.666322,1237.02,3323.83,2671.54,4563.45,7435.1,7754.75,665000,3694,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.058492,4.679063,-74.062222,4.676852,360.97,969.91,779.57,1331.63,2169.59,2262.87,665000,3695,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.058492,4.679063,-74.059667,4.672184,579.35,1556.7,1251.2,2137.27,3482.18,3631.89,665000,3696,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.058492,4.679063,-74.052316,4.67588,578.36,1554.04,1249.06,2133.61,3476.23,3625.68,665000,3697,Vía Municipal,0
50ACN01,353,59,46,0,0,0,Colectora Departamental,-74.661009,4.658728,-74.682952,4.678959,4840.51,12278.83,9643.65,16698.84,29052.43,30332.65,698,3698,Colectora Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.038171,4.679907,-74.043771,4.671405,854.3,2295.47,1844.99,3151.56,5134.75,5355.5,665000,3699,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.038171,4.679907,-74.039187,4.673314,645.95,1735.65,1395.04,2382.96,3882.49,4049.4,665000,3700,Vía Municipal,0
4702,5146,400,408,29,47,99,Troncal Departamental,-74.372917,4.673785,-74.356506,4.666893,3584.31,9152.8,7317.98,12530.88,20695.15,21598.34,8616,3701,Troncal Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.148595,4.666817,-74.132847,4.680105,1719.43,4620.06,3713.39,6343.11,10334.64,10778.95,665000,3702,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.132847,4.680105,-74.13,4.677343,329.84,886.27,712.34,1216.81,1982.51,2067.74,665000,3703,Vía Municipal,0
47CN08,1262,344,300,215,150,94,Colectora Departamental,-74.520723,4.638601,-74.520621,4.639529,96.95,244.98,193.34,333.75,591.73,620.15,5446,3704,Colectora Departamental,0
29VL02,165,33,102,0,0,0,Departamental,-75.76962,4.67741,-75.708996,4.672735,6746.51,22078.33,15877.12,28406.35,53350.67,56077.18,587,3705,Departamental,0
45CN03,30,4,5,0,0,0,Colectora Departamental,-74.781439,4.638444,-74.715769,4.680807,14947.76,44674.69,33182.9,60043.91,112192.49,117952.43,59,3706,Colectora Departamental,0
43TL05,170,32,18,7,2,3,Departamental,-74.892236,4.681037,-74.892236,4.681037,2.38,6.63,5.05,8.62,15.12,15.79,389,3707,Departamental,0
43TL05,170,32,18,7,2,3,Departamental,-74.892236,4.681037,-74.885879,4.672421,1007.82,2809.28,2139.95,3654.55,6412.2,6695.23,389,3708,Departamental,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.099338,4.681056,-74.103872,4.674656,653.24,1755.24,1410.78,2409.85,3926.31,4095.1,665000,3709,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.099338,4.681056,-74.095812,4.6778,399.21,1072.68,862.17,1472.73,2399.47,2502.63,665000,3710,Vía Municipal,0
25580,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.715769,4.680807,-74.71436,4.681306,184.14,536.69,417.3,702.86,1163.57,1214.09,665000,3711,Vía Municipal,0
25580,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.71436,4.681306,-74.714084,4.681642,37.36,108.9,84.67,142.61,236.09,246.35,665000,3712,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.115483,4.681865,-74.106787,4.671304,1152.37,3096.4,2488.74,4251.19,6926.35,7224.12,665000,3713,Vía Municipal,0
4010,411,30,0,0,0,0,Primer Orden,-71.57933,4.600321,-71.427595,4.682005,16723.2,42703.88,34143.2,58464.84,96556.57,100770.55,516,3714,Primer Orden,1229
50CN29-2,150,28,30,3,2,0,Colectora Departamental,-74.31824,4.68208,-74.316625,4.677037,498.06,1263.41,992.27,1718.2,2989.31,3121.04,360,3715,Colectora Departamental,0
25580,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.712822,4.681968,-74.712759,4.68219,21.44,62.49,48.59,81.84,135.48,141.36,665000,3716,Vía Municipal,0
25580,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.714084,4.681642,-74.712822,4.681968,144.47,421.06,327.4,551.44,912.89,952.53,665000,3717,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.052646,4.682328,-74.058492,4.679063,557.33,1497.52,1203.64,2056.02,3349.82,3493.83,665000,3718,Vía Municipal,0
25580,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.71436,4.681306,-74.715514,4.682376,136.02,396.45,308.26,519.2,859.53,896.85,665000,3719,Vía Municipal,0
25580,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.715514,4.682376,-74.714084,4.681642,153.76,448.16,348.47,586.92,971.64,1013.83,665000,3720,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.119587,4.67893,-74.11599,4.682379,414.73,1114.37,895.68,1529.97,2492.74,2599.91,665000,3721,Vía Municipal,0
11001,50000,30000,30000,30000,30000,30000,Vía Municipal,-74.11599,4.682379,-74.115483,4.681865,60.05,161.36,129.7,221.54,360.95,376.47,665000,3722,Vía Municipal,0
